Up,"2015-11-20 20:42:54",OK,"3 hrs, 4 mins"
Down,"2015-11-20 19:23:38","Service Unavailable","1 hrs, 19 mins"
Up,"2015-11-20 19:19:41",OK,"0 hrs, 3 mins"
Down,"2015-11-20 19:18:08","Connection Timeout","0 hrs, 1 mins"
Up,"2015-11-20 19:13:34",OK,"0 hrs, 4 mins"
Down,"2015-11-20 19:11:38","Service Unavailable","0 hrs, 1 mins"
Up,"2015-11-20 18:36:25",OK,"0 hrs, 35 mins"
Down,"2015-11-20 18:35:28","Connection Timeout","0 hrs, 0 mins"
Up,"2015-11-20 18:31:01",OK,"0 hrs, 4 mins"
Down,"2015-11-20 18:29:28","Connection Timeout","0 hrs, 1 mins"
Up,"2015-11-20 18:24:24",OK,"0 hrs, 5 mins"
Down,"2015-11-20 18:12:07","Connection Timeout","0 hrs, 12 mins"
Up,"2015-11-20 18:06:54",OK,"0 hrs, 5 mins"
Down,"2015-11-20 17:11:17","Service Unavailable","0 hrs, 55 mins"
Up,"2015-11-20 16:21:24",OK,"0 hrs, 49 mins"
Down,"2015-11-20 16:03:51","Connection Timeout","0 hrs, 17 mins"
Up,"2015-11-20 15:58:40",OK,"0 hrs, 5 mins"
Down,"2015-11-20 15:21:46","Service Unavailable","0 hrs, 36 mins"
Up,"2015-11-20 11:21:06",OK,"4 hrs, 0 mins"
Down,"2015-11-20 11:19:10","Connection Timeout","0 hrs, 1 mins"
Up,"2015-11-20 08:40:44",OK,"2 hrs, 38 mins"
Down,"2015-11-20 08:25:42","Connection Timeout","0 hrs, 15 mins"
Up,"2015-11-20 07:43:25",OK,"0 hrs, 42 mins"
Down,"2015-11-20 06:52:55","Service Unavailable","0 hrs, 50 mins"
Up,"2015-11-20 00:52:20",OK,"6 hrs, 0 mins"
Down,"2015-11-20 00:30:00","Service Unavailable","0 hrs, 22 mins"
Up,"2015-11-20 00:25:02",OK,"0 hrs, 4 mins"
Down,"2015-11-20 00:18:55","Connection Timeout","0 hrs, 6 mins"
Up,"2015-11-20 00:13:49",OK,"0 hrs, 5 mins"
Down,"2015-11-19 23:42:05","Service Unavailable","0 hrs, 31 mins"
Up,"2015-11-19 23:37:49",OK,"0 hrs, 4 mins"
Down,"2015-11-19 23:36:05","Service Unavailable","0 hrs, 1 mins"
Up,"2015-11-19 22:10:57",OK,"1 hrs, 25 mins"
Down,"2015-11-19 21:09:47","Connection Timeout","1 hrs, 1 mins"
Up,"2015-11-19 21:04:45",OK,"0 hrs, 5 mins"
Down,"2015-11-19 20:41:57","Service Unavailable","0 hrs, 22 mins"
Up,"2015-11-19 20:26:51",OK,"0 hrs, 15 mins"
Down,"2015-11-19 20:00:23","Service Unavailable","0 hrs, 26 mins"
Up,"2015-11-19 18:24:57",OK,"1 hrs, 35 mins"
Down,"2015-11-19 17:27:34","Service Unavailable","0 hrs, 57 mins"
Up,"2015-11-19 16:39:21",OK,"0 hrs, 48 mins"
Down,"2015-11-19 16:38:31","Connection Timeout","0 hrs, 0 mins"
Up,"2015-11-19 16:33:31",OK,"0 hrs, 5 mins"
Down,"2015-11-19 16:32:02","Service Unavailable","0 hrs, 1 mins"
Up,"2015-11-19 15:38:45",OK,"0 hrs, 53 mins"
Down,"2015-11-19 15:27:56","Service Unavailable","0 hrs, 10 mins"
Up,"2015-11-19 15:02:47",OK,"0 hrs, 25 mins"
Down,"2015-11-19 14:22:04","Service Unavailable","0 hrs, 40 mins"
Up,"2015-11-19 12:51:41",OK,"1 hrs, 30 mins"
Down,"2015-11-19 12:49:58","Connection Timeout","0 hrs, 1 mins"
Up,"2015-11-19 12:44:57",OK,"0 hrs, 5 mins"
Down,"2015-11-19 12:33:53","Service Unavailable","0 hrs, 11 mins"
Up,"2015-11-19 11:44:18",OK,"0 hrs, 49 mins"
Down,"2015-11-19 11:42:33","Service Unavailable","0 hrs, 1 mins"
Up,"2015-11-19 10:42:33",OK,"1 hrs, 0 mins"
Down,"2015-11-19 10:35:52","Service Unavailable","0 hrs, 6 mins"
Up,"2015-11-19 09:10:22",OK,"1 hrs, 25 mins"
Down,"2015-11-19 08:09:12","Service Unavailable","1 hrs, 1 mins"
Up,"2015-11-19 08:04:47",OK,"0 hrs, 4 mins"
Down,"2015-11-19 08:03:42","Connection Timeout","0 hrs, 1 mins"
Up,"2015-11-19 07:58:35",OK,"0 hrs, 5 mins"
Down,"2015-11-19 07:57:12","Connection Timeout","0 hrs, 1 mins"
Up,"2015-11-19 07:43:39",OK,"0 hrs, 13 mins"
Down,"2015-11-19 07:33:00","Connection Timeout","0 hrs, 10 mins"
Up,"2015-11-19 04:47:49",OK,"2 hrs, 45 mins"
Down,"2015-11-19 03:27:11","Service Unavailable","1 hrs, 20 mins"
Up,"2015-11-19 00:58:52",OK,"2 hrs, 28 mins"
Down,"2015-11-19 00:50:09","Service Unavailable","0 hrs, 8 mins"
Up,"2015-11-18 16:26:12",OK,"8 hrs, 23 mins"
Down,"2015-11-18 16:24:51","Connection Timeout","0 hrs, 1 mins"
Up,"2015-11-18 13:59:15",OK,"2 hrs, 25 mins"
Down,"2015-11-18 13:46:28","Service Unavailable","0 hrs, 12 mins"
Up,"2015-11-18 12:34:58",OK,"1 hrs, 11 mins"
Down,"2015-11-18 11:59:33","Service Unavailable","0 hrs, 35 mins"
Up,"2015-11-18 00:03:16",OK,"11 hrs, 56 mins"
Down,"2015-11-18 00:00:37","Service Unavailable","0 hrs, 2 mins"
Up,"2015-11-17 23:22:30",OK,"0 hrs, 38 mins"
Down,"2015-11-17 23:11:09","Service Unavailable","0 hrs, 11 mins"
Up,"2015-11-17 22:53:06",OK,"0 hrs, 18 mins"
Down,"2015-11-17 21:56:35","Service Unavailable","0 hrs, 56 mins"
Up,"2015-11-17 14:39:30",OK,"7 hrs, 17 mins"
Down,"2015-11-17 14:02:15","Connection Timeout","0 hrs, 37 mins"
Up,"2015-11-17 13:57:42",OK,"0 hrs, 4 mins"
Down,"2015-11-17 13:55:44","Connection Timeout","0 hrs, 1 mins"
Up,"2015-11-17 13:22:18",OK,"0 hrs, 33 mins"
Down,"2015-11-17 13:08:26","Service Unavailable","0 hrs, 13 mins"
Up,"2015-11-17 12:57:10",OK,"0 hrs, 11 mins"
Down,"2015-11-17 12:07:00","Connection Timeout","0 hrs, 50 mins"
Up,"2015-11-17 12:01:56",OK,"0 hrs, 5 mins"
Down,"2015-11-17 11:52:10","Service Unavailable","0 hrs, 9 mins"
Up,"2015-11-17 11:22:09",OK,"0 hrs, 30 mins"
Down,"2015-11-17 10:59:30","Service Unavailable","0 hrs, 22 mins"
Up,"2015-11-17 09:35:01",OK,"1 hrs, 24 mins"
Down,"2015-11-17 09:30:20","Service Unavailable","0 hrs, 4 mins"
Up,"2015-11-17 09:14:02",OK,"0 hrs, 16 mins"
Down,"2015-11-17 08:57:25","Connection Timeout","0 hrs, 16 mins"
Up,"2015-11-17 08:18:39",OK,"0 hrs, 38 mins"
Down,"2015-11-17 08:03:12","Service Unavailable","0 hrs, 15 mins"
Up,"2015-11-17 07:28:18",OK,"0 hrs, 34 mins"
Down,"2015-11-17 07:04:23","Service Unavailable","0 hrs, 23 mins"
Up,"2015-11-17 06:18:14",OK,"0 hrs, 46 mins"
Down,"2015-11-17 06:13:13","Service Unavailable","0 hrs, 5 mins"
Up,"2015-11-17 05:42:32",OK,"0 hrs, 30 mins"
Down,"2015-11-17 05:16:05","Connection Timeout","0 hrs, 26 mins"
Up,"2015-11-17 05:10:59",OK,"0 hrs, 5 mins"
Down,"2015-11-17 04:17:01","Service Unavailable","0 hrs, 53 mins"
Up,"2015-11-17 04:00:55",OK,"0 hrs, 16 mins"
Down,"2015-11-17 03:56:51","Service Unavailable","0 hrs, 4 mins"
Up,"2015-11-17 03:32:36",OK,"0 hrs, 24 mins"
Down,"2015-11-17 03:27:21","Connection Timeout","0 hrs, 5 mins"
Up,"2015-11-17 03:00:53",OK,"0 hrs, 26 mins"
Down,"2015-11-17 02:50:07","Service Unavailable","0 hrs, 10 mins"
Up,"2015-11-17 01:17:17",OK,"1 hrs, 32 mins"
Down,"2015-11-17 01:13:16","Service Unavailable","0 hrs, 4 mins"
Up,"2015-11-17 00:35:18",OK,"0 hrs, 37 mins"
Down,"2015-11-16 23:48:48","Service Unavailable","0 hrs, 46 mins"
Up,"2015-11-16 23:16:04",OK,"0 hrs, 32 mins"
Down,"2015-11-16 22:07:20","Service Unavailable","1 hrs, 8 mins"
Up,"2015-11-16 17:36:03",OK,"4 hrs, 31 mins"
Down,"2015-11-16 17:18:21","Service Unavailable","0 hrs, 17 mins"
Up,"2015-11-16 16:45:23",OK,"0 hrs, 32 mins"
Down,"2015-11-16 16:23:53","Connection Timeout","0 hrs, 21 mins"
Up,"2015-11-16 11:44:17",OK,"4 hrs, 39 mins"
Down,"2015-11-16 10:45:44","Service Unavailable","0 hrs, 58 mins"
Up,"2015-11-16 10:25:16",OK,"0 hrs, 20 mins"
Down,"2015-11-16 10:14:40","Connection Timeout","0 hrs, 10 mins"
Up,"2015-11-16 04:36:03",OK,"5 hrs, 38 mins"
Down,"2015-11-16 03:55:12","Connection Timeout","0 hrs, 40 mins"
Up,"2015-11-16 03:30:05",OK,"0 hrs, 25 mins"
Down,"2015-11-16 03:19:10","Connection Timeout","0 hrs, 10 mins"
Up,"2015-11-13 03:45:24",OK,"71 hrs, 33 mins"
Down,"2015-11-13 02:33:47","Service Unavailable","1 hrs, 11 mins"
Up,"2015-11-13 00:13:27",OK,"2 hrs, 20 mins"
Down,"2015-11-13 00:06:07","Service Unavailable","0 hrs, 7 mins"
Up,"2015-11-12 19:31:49",OK,"4 hrs, 34 mins"
Down,"2015-11-12 19:29:46","Service Unavailable","0 hrs, 2 mins"
Up,"2015-11-12 17:28:20",OK,"2 hrs, 1 mins"
Down,"2015-11-12 17:27:10","Connection Timeout","0 hrs, 1 mins"
Up,"2015-11-12 15:29:17",OK,"1 hrs, 57 mins"
